Brand Name,Device Type,Model Name,Color,Selling Price,Original Price,Display,Rating (Out of 5),Strap Material,Average Battery Life (in days),Discount
Noise ,Smartwatch,ColorFit Brio,"['Black', 'Green']",3499.0,5999.0,AMOLED Display,4.3,Thermoplastic polyurethane,7,2500.0
Noise ,Smartwatch,NoiseFit Endure,"['Black', 'Blue', 'Red']",2999.0,5999.0,AMOLED Display,3.9,Silicone,7,3000.0
Noise ,Smartwatch,NoiseFit Endure,"['Gray', 'Green']",2599.0,5999.0,AMOLED Display,3.9,Silicone,7,3400.0
Noise ,Smartwatch,ColorFit Pro,"['Black', 'Blue']",2513.0,4999.0,AMOLED Display,3.9,Silicone,7,2486.0
Noise ,Smartwatch,ColorFit Pro,"['Gray', 'Green', 'Teal']",2499.0,4999.0,AMOLED Display,3.9,Silicone,7,2500.0
Noise ,Smartwatch,Fit Evolve,"['Black', 'Red']",5499.0,7999.0,AMOLED Display,3.9,Thermoplastic polyurethane,7,2500.0
Noise ,Smartwatch,Fusiom Hybrid,['Blue'],5999.0,9999.0,AMOLED Display,4.0,Thermoplastic polyurethane,7,4000.0
Noise ,Smartwatch,Evolve,"['Black', 'Gray', 'Red']",4999.0,7999.0,AMOLED Display,3.9,Thermoplastic polyurethane,7,3000.0
Noise ,Smartwatch,NoiseFit Endure,"['Black', 'Blue', 'Teal']",2799.0,5999.0,AMOLED Display,3.9,Thermoplastic polyurethane,7,3200.0
Honor,Smartwatch,Z1,['Black'],5499.0,5499.0,OLED Display,3.1,Silicone,14,0.0
Honor,Smartwatch,GS Pro,['Black'],13999.0,20999.0,AMOLED Display,4.4,Nylon,25,7000.0
Honor,Smartwatch,GS Pro,['Blue'],17999.0,20999.0,AMOLED Display,4.4,Nylon,25,3000.0
Honor,Smartwatch,Watch Magic,['Black'],7999.0,17999.0,AMOLED Display,4.3,Silicone,7,10000.0
Honor,Smartwatch,Magic Watch 2,['Brown'],13999.0,15999.0,AMOLED Display,4.4,Leather,14,2000.0
Honor,Smartwatch,Watch ES,"['Black', 'Pink']",4999.0,10999.0,AMOLED Display,4.3,Silicone,10,6000.0
Honor,Smartwatch,Magic Watch,['Brown'],9047.0,17999.0,AMOLED Display,4.3,Silicone,7,8952.0
huami,Smartwatch,Amazfit GTS,['Beige'],5499.0,12999.0,AMOLED Display,4.3,Silicone,14,7500.0
huami,Smartwatch,Amazfit GTS,['Black'],5299.0,12999.0,AMOLED Display,4.3,Silicone,14,7700.0
huami,Smartwatch,Amazfit GTS,['Pink'],5999.0,12999.0,AMOLED Display,4.3,Silicone,14,7000.0
